settlement_file,cycle_id,cycle_cutoff,business_date,participant_bic,counterparty_bic,end_to_end_id,uetr,message_type,amount_minor,currency,status,cycle_declared_net_minor,cycle_txn_count,payment_reference
RAAST-STL-2026-07-30,RAAST-2026-07-29-C3,3,2026-07-29,NEXUSPKK,FAYSPKKA,E2EP260002A0073,5701b8f0-9cc2-4044-8ba5-37799336a6d7,pacs.008,2000000,PKR,ACSC,119596500,8,P260002A
RAAST-STL-2026-07-30,RAAST-2026-07-29-C3,3,2026-07-29,NEXUSPKK,ALFHPKKA,R260001,19f6f4e1-f90d-45e1-8113-2cb61c8c45a9,pacs.008,1150000,PKR,ACSC,119596500,8,P260002H
RAAST-STL-2026-07-30,RAAST-2026-07-29-C3,3,2026-07-29,NEXUSPKK,UNILPKKA,E2EP26000380103,11b8da89-a544-4c03-8653-4cfd6d7a1cea,pacs.008,2810000,PKR,ACSC,119596500,8,P2600038
RAAST-STL-2026-07-30,RAAST-2026-07-29-C3,3,2026-07-29,NEXUSPKK,NBPAPKKA,E2EP26000390104,484605f4-b2aa-4e84-89f8-cbfa4581b391,pacs.008,3640000,PKR,ACSC,119596500,8,P2600039
RAAST-STL-2026-07-30,RAAST-2026-07-29-C4,4,2026-07-29,NEXUSPKK,EASYPKKA,E2EP260000E0013,07c0ede9-ab24-4856-866e-aed8d34cd764,pacs.008,94388000,PKR,ACSC,155232900,6,P260000E
RAAST-STL-2026-07-30,RAAST-2026-07-29-C4,4,2026-07-29,NEXUSPKK,UNILPKKA,E2EP260001J0049,55c5cfbc-a61b-4465-8aa7-c2c8ae3aad86,pacs.008,3470000,PKR,ACSC,155232900,6,P260001J
RAAST-STL-2026-07-30,RAAST-2026-07-29-C4,4,2026-07-29,NEXUSPKK,HABBPKKA,R260004,712d5d90-1e6f-4e7d-8de4-cca7d5166b35,pacs.008,1900000,PKR,ACSC,155232900,6,P260002M
RAAST-STL-2026-07-30,RAAST-2026-07-29-C4,4,2026-07-29,NEXUSPKK,ALFHPKKA,E2EP26000300095,444f6efc-ee2e-465b-874c-cc97e2f04bc5,pacs.008,27378000,PKR,ACSC,155232900,6,P2600030
RAAST-STL-2026-07-30,RAAST-2026-07-29-C4,4,2026-07-29,NEXUSPKK,UNILPKKA,E2EP26000330098,f19e7a16-e1f2-4546-8b56-97fa80ec5563,pacs.008,27682200,PKR,ACSC,155232900,6,P2600033
RAAST-STL-2026-07-30,RAAST-2026-07-29-C4,4,2026-07-29,NEXUSPKK,SCBLPKKX,E2EP26000350100,766a57b4-cf77-4bb2-82a3-7c528f2fa13c,pacs.008,414700,PKR,ACSC,155232900,6,P2600035
RAAST-STL-2026-07-30,RAAST-2026-07-30-C3,3,2026-07-30,NEXUSPKK,EASYPKKA,E2EP26000010000,8e5e4e8d-200a-4df4-86ce-864facf3868f,pacs.008,350000,PKR,ACSC,104455000,5,P2600001
RAAST-STL-2026-07-30,RAAST-2026-07-30-C3,3,2026-07-30,NEXUSPKK,JSBLPKKA,E2EP260000X0028,6b7e7204-b79f-4200-8972-312e2b5bdfe3,pacs.008,150000,PKR,ACSC,104455000,5,P260000X
RAAST-STL-2026-07-30,RAAST-2026-07-30-C3,3,2026-07-30,NEXUSPKK,EASYPKKA,E2EP26000150036,146fb59f-7100-4379-8b0c-3f592b93fe61,pacs.008,300000,PKR,ACSC,104455000,5,P2600015
RAAST-STL-2026-07-30,RAAST-2026-07-30-C3,3,2026-07-30,NEXUSPKK,MEZNPKKA,E2EP26000210064,cc733b4e-8db1-491b-83be-1b430a504966,pacs.008,20000000,PKR,ACSC,104455000,5,P2600021
RAAST-STL-2026-07-30,RAAST-2026-07-30-C3,3,2026-07-30,NEXUSPKK,ALFHPKKA,E2EP26000290072,d527c610-f323-4c73-82cc-1ba12aafb7d8,pacs.008,83655000,PKR,ACSC,104455000,5,P2600029
RAAST-STL-2026-07-30,RAAST-2026-07-30-C4,4,2026-07-30,NEXUSPKK,JSBLPKKA,E2EP26000050004,5cb69c76-1185-40fc-8577-3edd93971f5b,pacs.008,300000,PKR,ACSC,166024300,8,P2600005
RAAST-STL-2026-07-30,RAAST-2026-07-30-C4,4,2026-07-30,NEXUSPKK,MUCBPKKA,E2EP26000190040,fe791542-ad44-46a0-8633-2ec85cb49dc0,pacs.008,44755200,PKR,ACSC,166024300,8,P2600019
RAAST-STL-2026-07-30,RAAST-2026-07-30-C4,4,2026-07-30,NEXUSPKK,UNILPKKA,E2EP260002D0076,1a412def-0fa2-4d3c-861c-113fd12920ba,pacs.008,34776000,PKR,ACSC,166024300,8,P260002D
RAAST-STL-2026-07-30,RAAST-2026-07-30-C4,4,2026-07-30,NEXUSPKK,ALFHPKKA,R260003,0d33f8f1-8bb2-4167-82d4-1ff61a04433f,pacs.008,1575000,PKR,ACSC,166024300,8,P260002K
RAAST-STL-2026-07-30,RAAST-2026-07-30-C4,4,2026-07-30,NEXUSPKK,MEZNPKKA,E2EP260002Z0094,56258e90-c4d9-47a5-89c3-fbd3ffe918b7,pacs.008,20235800,PKR,ACSC,166024300,8,P260002Z
RAAST-STL-2026-07-30,RAAST-2026-07-30-C4,4,2026-07-30,NEXUSPKK,HABBPKKA,E2EP26000320097,9a050537-0e55-4183-86ea-3656c975bd23,pacs.008,45632300,PKR,ACSC,166024300,8,P2600032
RAAST-STL-2026-07-30,RAAST-2026-07-30-C4,4,2026-07-30,NEXUSPKK,EASYPKKA,E2EP26000360101,aba3d984-043f-477b-8b07-5ee5571486b1,pacs.008,800000,PKR,ACSC,166024300,8,P2600036
RAAST-STL-2026-07-30,RAAST-2026-07-30-C4,4,2026-07-30,NEXUSPKK,HABBPKKA,E2EP260003K0114,ec2dee3f-bf53-402e-8bea-a83e6e07e407,pacs.008,19200000,PKR,ACSC,166024300,8,P260003K
