payment_id,payment_reference,intent_reference,agency_code,channel,rail,direction,instrument_id,bulk_batch_id,rtp_reference,gross_amount_minor,fee_amount_minor,net_to_agency_minor,unapplied_amount_minor,currency,status,finality,value_date,obligation_discharge_date,cutoff_reason,cutoff_rule_version,received_at,confirmed_at,rail_e2e_id,rail_uetr,switch_stan,switch_rrn,acquirer_id,payer_account_masked,payer_bank_bic,remittance_raw,third_party_payer,settlement_cycle,duplicate_of_payment_reference,in_bank_statement,in_switch_file,in_rail_file
PM-00015,P260000F,IP260000F0,ETPB,CARD,PAYPAK,INBOUND,,,,4630000,0,4630000,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T14:38:00Z,2026-07-28T14:38:00Z,E2EP260000F0014,,265891,26209956122,MUCBACQ,PK**************9353,MUCBPKKA,PSID 31011200002605610 PROPERTY TAX - URBAN,,,,Y,Y,N
PM-00016,P260000G,IP260000G0,SRB,WALLET,WALLET,INBOUND,,,,21800000,0,21800000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T15:45:00Z,2026-07-27T15:45:00Z,E2EP260000G0015,,,,,PK**************8107,UNILPKKA,PSID 22010800000403089 SINDH SALES TAX ON S,,,,Y,N,N
PM-00017,P260000H,IP260000H0,BOR,AGENT,IBFT_1LINK,INBOUND,,,,21560000,2500,21560000,0,PKR,CONFIRMED,FINAL,2026-07-31,2026-07-30,AFTER_CUTOFF,CUTOFF-2026.07,2026-07-30T16:52:00Z,2026-07-30T16:52:00Z,E2EP260000H0016,,665871,26212278683,FAYSACQ,PK**************5886,FAYSPKKA,PSID 71011800000315665 STAMP DUTY - PROPERT,,,,Y,Y,N
PM-00018,P260000J,IP260000J0,BOR,API,PRISM_RTGS,INBOUND,,,,30800000,2500,30800000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-29,AFTER_CUTOFF,CUTOFF-2026.07,2026-07-29T17:59:00Z,2026-07-29T17:59:00Z,E2EP260000J0017,,,,,PK**************1492,MUCBPKKA,PSID 71011800000612043 STAMP DUTY - PROPERT,,,,Y,N,N
PM-00019,P260000K,IP260000K0,PSCA,APP,RAAST,INBOUND,,,,600000,2500,600000,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T09:06:00Z,2026-07-28T09:06:00Z,E2EP260000K0018,5e53b3ba-9a88-43c0-8854-2323ed2f8f4b,,,,PK**************4091,JSBLPKKA,PSID 41011300000955356 TRAFFIC E-CHALLAN - ,,RAAST-2026-07-28-C3,,Y,N,Y
PM-00020,P260000M,IP260000M0,FBR,QR,RAAST,INBOUND,,,,13756000,0,13756000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T10:13:00Z,2026-07-27T10:13:00Z,E2EP260000M0019,9b68288c-e4d9-43b7-8da1-c270243aa186,,,,PK**************6869,HABBPKKA,PSID 12010200004775239 INCOME TAX - INDIVID,,RAAST-2026-07-27-C3,,Y,N,Y
PM-00021,P260000N,IP260000N0,BOR,BILLER,IBFT_1LINK,INBOUND,,,,15400000,2500,15400000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T11:20:00Z,2026-07-30T11:20:00Z,E2EP260000N0020,,910512,26211129856,EASYACQ,PK**************3865,EASYPKKA,PSID 71011800000183627 STAMP DUTY - PROPERT,,,,Y,Y,N
PM-00022,P260000P,IP260000P0,PSCA,ATM,IBFT_1LINK,INBOUND,,,,750000,2500,750000,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T12:27:00Z,2026-07-29T12:27:00Z,E2EP260000P0021,,404998,26210716852,MUCBACQ,PK**************4325,MUCBPKKA,PSID 41011400000685365 TRAFFIC E-CHALLAN - ,,,,Y,Y,N
PM-00023,P260000Q,IP260000Q0,FBR,IBANKING,RAAST,INBOUND,,,,41428800,0,41428800,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T13:34:00Z,2026-07-28T13:34:00Z,E2EP260000Q0022,f70c4d31-a282-43b8-86c9-5e1c61e977b7,,,,PK**************1021,ALFHPKKA,PSID 12010400002312071 SALES TAX ON GOODS -,,RAAST-2026-07-28-C4,,Y,N,Y
PM-00024,P260000R,IP260000R0,PSCA,CARD,PAYPAK,INBOUND,,,,350000,2500,350000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T14:41:00Z,2026-07-27T14:41:00Z,E2EP260000R0023,,424044,26208420533,NBPAACQ,PK**************6342,NBPAPKKA,PSID 41011400000884904 TRAFFIC E-CHALLAN - ,,,,Y,Y,N
PM-00025,P260000S,IP260000S0,PRA,WALLET,WALLET,INBOUND,,,,24200000,0,24200000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T15:48:00Z,2026-07-30T15:48:00Z,E2EP260000S0024,,,,,PK**************8051,HABBPKKA,PSID 21010700000801750 PUNJAB SALES TAX ON ,,,,Y,N,N
PM-00026,P260000T,IP260000T0,PSCA,AGENT,IBFT_1LINK,INBOUND,,,,500000,2500,500000,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T16:55:00Z,2026-07-29T16:55:00Z,E2EP260000T0025,,351599,26210363986,ALFHACQ,PK**************1682,ALFHPKKA,PSID 41011300001327382 TRAFFIC E-CHALLAN - ,,,,Y,Y,N
PM-00027,P260000V,IP260000V0,FBR,API,PRISM_RTGS,INBOUND,,,,48081600,0,48081600,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T17:02:00Z,2026-07-28T17:02:00Z,E2EP260000V0026,,,,,PK**************4957,MEZNPKKA,PSID 12010400002511726 SALES TAX ON GOODS -,,,,Y,N,N
PM-00028,P260000W,IP260000W0,NADRA,APP,RAAST,INBOUND,,,,150000,2500,150000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T09:09:00Z,2026-07-27T09:09:00Z,E2EP260000W0027,953efbba-9352-42c4-87fb-499e5117d68b,,,,PK**************6766,ALFHPKKA,PSID 88000000000021 CNIC ISSUANCE / RENE,,RAAST-2026-07-27-C3,,Y,N,Y
PM-00029,P260000X,IP260000X0,NADRA,QR,RAAST,INBOUND,,,,150000,2500,150000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T10:16:00Z,2026-07-30T10:16:00Z,E2EP260000X0028,6b7e7204-b79f-4200-8972-312e2b5bdfe3,,,,PK**************6805,JSBLPKKA,PSID 88000000000070 CNIC ISSUANCE / RENE,,RAAST-2026-07-30-C3,,Y,N,Y
PM-00030,P260000Y,IP260000Y0,NADRA,BILLER,IBFT_1LINK,INBOUND,,,,150000,2500,150000,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T11:23:00Z,2026-07-29T11:23:00Z,E2EP260000Y0029,,440126,26210271316,HABBACQ,PK**************1858,HABBPKKA,PSID 88000000000088 CNIC ISSUANCE / RENE,,,,Y,Y,N
PM-00031,P260000Z,IP260000Z0,ETPB,ATM,IBFT_1LINK,INBOUND,,,,1550000,0,1550000,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T12:30:00Z,2026-07-28T12:30:00Z,E2EP260000Z0030,,828771,26209901986,ALFHACQ,PK**************5487,ALFHPKKA,PSID 31011100001733224 PROFESSIONAL TAX - B,,,,Y,Y,N
PM-00032,P2600010,IP26000100,LHC,IBANKING,RAAST,INBOUND,,,,2500000,2500,2500000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T13:37:00Z,2026-07-27T13:37:00Z,E2EP26000100031,50cecec7-090a-4146-880b-8655df2f3b43,,,,PK**************5302,MEZNPKKA,PSID 61011600000363682 COURT FEE - CIVIL FI,,RAAST-2026-07-27-C4,,Y,N,Y
PM-00033,P2600011,IP26000110,FBR,CARD,PAYPAK,INBOUND,,,,12034000,0,12034000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T14:44:00Z,2026-07-30T14:44:00Z,E2EP26000110032,,587153,26211923800,EASYACQ,PK**************2480,EASYPKKA,PSID 12010200004676828 INCOME TAX - INDIVID,,,,Y,Y,N
PM-00034,P2600012,IP26000120,LHC,WALLET,WALLET,INBOUND,,,,3000000,2500,3000000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-29,AFTER_CUTOFF,CUTOFF-2026.07,2026-07-29T15:51:00Z,2026-07-29T15:51:00Z,E2EP26000120033,,,,,PK**************8076,FAYSPKKA,PSID 61011600000424002 COURT FEE - CIVIL FI,,,,Y,N,N
PM-00035,P2600013,IP26000130,FBR,AGENT,IBFT_1LINK,INBOUND,,,,31449600,0,31449600,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T16:58:00Z,2026-07-28T16:58:00Z,E2EP26000130034,,208966,26209302086,JSBLACQ,PK**************6476,JSBLPKKA,PSID 12010400002046360 SALES TAX ON GOODS -,,,,Y,Y,N
PM-00036,P2600014,IP26000140,FBR,API,PRISM_RTGS,INBOUND,,,,98104500,0,98104500,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T17:05:00Z,2026-07-27T17:05:00Z,E2EP26000140035,,,,,PK**************1682,ALFHPKKA,PSID 12010100001424055 INCOME TAX - COMPANI,,,,Y,N,N
PM-00037,P2600015,IP26000150,PSCA,APP,RAAST,INBOUND,,,,300000,2500,300000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T09:12:00Z,2026-07-30T09:12:00Z,E2EP26000150036,146fb59f-7100-4379-8b0c-3f592b93fe61,,,,PK**************4368,EASYPKKA,PSID 41011300000396784 TRAFFIC E-CHALLAN - ,,RAAST-2026-07-30-C3,,Y,N,Y
PM-00038,P2600016,IP26000160,FBR,QR,RAAST,INBOUND,,,,88471500,0,88471500,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T10:19:00Z,2026-07-29T10:19:00Z,E2EP26000160037,2a86d4d5-e991-4b82-851b-c3de5b4ebb7f,,,,PK**************6798,MEZNPKKA,PSID 12010100001224349 INCOME TAX - COMPANI,,RAAST-2026-07-29-C3,,Y,N,Y
PM-00039,P2600017,IP26000170,SRB,BILLER,IBFT_1LINK,INBOUND,,,,14000000,0,14000000,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T11:26:00Z,2026-07-28T11:26:00Z,E2EP26000170038,,564132,26209770237,FAYSACQ,PK**************6547,FAYSPKKA,PSID 22010800000145120 SINDH SALES TAX ON S,,,,Y,Y,N
PM-00040,P2600018,IP26000180,PSCA,ATM,IBFT_1LINK,INBOUND,,,,650000,2500,650000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T12:33:00Z,2026-07-27T12:33:00Z,E2EP26000180039,,995831,26208531888,MUCBACQ,PK**************2601,MUCBPKKA,PSID 41011400001427546 TRAFFIC E-CHALLAN - ,,,,Y,Y,N
PM-00041,P2600019,IP26000190,FBR,IBANKING,RAAST,INBOUND,,,,44755200,0,44755200,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T13:40:00Z,2026-07-30T13:40:00Z,E2EP26000190040,fe791542-ad44-46a0-8633-2ec85cb49dc0,,,,PK**************5783,MUCBPKKA,PSID 12010400002413680 SALES TAX ON GOODS -,,RAAST-2026-07-30-C4,,N,N,Y
PM-00042,P260001A,IP260001A0,LHC,CARD,PAYPAK,INBOUND,,,,3500000,2500,3500000,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T14:47:00Z,2026-07-29T14:47:00Z,E2EP260001A0041,,351316,26210604792,HABBACQ,PK**************6736,HABBPKKA,PSID 61011600000555795 COURT FEE - CIVIL FI,,,,Y,Y,N
PM-00043,P260001B,IP260001B0,BOR,WALLET,WALLET,INBOUND,,,,18480000,2500,18480000,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T15:54:00Z,2026-07-28T15:54:00Z,E2EP260001B0042,,,,,PK**************1394,MEZNPKKA,PSID 71011800000214127 STAMP DUTY - PROPERT,,,,Y,N,N
PM-00044,P260001C,IP260001C0,FBR,AGENT,IBFT_1LINK,INBOUND,,,,98760000,0,98760000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T16:01:00Z,2026-07-27T16:01:00Z,E2EP260001C0043,,589550,26208487867,ALFHACQ,PK**************3316,ALFHPKKA,PSID 12010500003000569 CUSTOMS DUTY & TAXES,,,,Y,Y,N
PM-00045,P260001D,IP260001D0,ETPB,API,PRISM_RTGS,INBOUND,,,,4050000,0,4050000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T17:08:00Z,2026-07-30T17:08:00Z,E2EP260001D0044,,,,,PK**************9758,NBPAPKKA,PSID 31011200002580103 PROPERTY TAX - URBAN,,,,Y,N,N
PM-00046,P260001E,IP260001E0,ETPB,APP,RAAST,INBOUND,,,,1325000,2500,1325000,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T09:15:00Z,2026-07-29T09:15:00Z,E2EP260001E0045,8b85e14e-31c0-4013-8117-f7757da4a84f,,,,PK**************1784,MUCBPKKA,PSID 31010900001469438 MOTOR VEHICLE TOKEN ,,RAAST-2026-07-29-C3,,Y,N,Y
PM-00047,P260001F,IP260001F0,BOR,QR,RAAST,INBOUND,,,,100000000,0,100000000,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T10:22:00Z,2026-07-28T10:22:00Z,E2EP260001F0046,a37b90ad-a074-4cc0-85cb-4d4c5cf1ee19,,,,PK**************5541,MEZNPKKA,PSID 71011900000974986 TENDER / EARNEST MON,,RAAST-2026-07-28-C3,,Y,N,Y
PM-00048,P260001G,IP260001G0,ETPB,BILLER,IBFT_1LINK,INBOUND,,,,7800000,2500,7800000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T11:29:00Z,2026-07-27T11:29:00Z,E2EP260001G0047,,173481,26208826451,ALFHACQ,PK**************6603,ALFHPKKA,PSID 31011000002865112 MOTOR VEHICLE REGIST,,,,Y,Y,N
PM-00049,P260001H,IP260001H0,FBR,ATM,IBFT_1LINK,INBOUND,,,,102921000,0,102921000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T12:36:00Z,2026-07-30T12:36:00Z,E2EP260001H0048,,595657,26211480370,FAYSACQ,PK**************5424,FAYSPKKA,PSID 12010100001591754 INCOME TAX - COMPANI,,,,Y,Y,N
PM-00050,P260001J,IP260001J0,ETPB,IBANKING,RAAST,INBOUND,,,,3470000,0,3470000,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T13:43:00Z,2026-07-29T13:43:00Z,E2EP260001J0049,55c5cfbc-a61b-4465-8aa7-c2c8ae3aad86,,,,PK**************9551,UNILPKKA,PSID 31011200002443136 PROPERTY TAX - URBAN,,RAAST-2026-07-29-C4,,Y,N,Y
PM-00051,P260001K,IP260001K0,FBR,CARD,PAYPAK,INBOUND,,,,10312000,0,10312000,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T14:50:00Z,2026-07-28T14:50:00Z,E2EP260001K0050,,536799,26209123642,FAYSACQ,PK**************3106,FAYSPKKA,PSID 12010200004500703 INCOME TAX - INDIVID,,,,Y,Y,N
PM-00052,P260001M,IP260001M0,PRA,WALLET,WALLET,INBOUND,,,,13700000,0,13700000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T15:57:00Z,2026-07-27T15:57:00Z,E2EP260001M0051,,,,,PK**************5498,JSBLPKKA,PSID 21010700000316777 PUNJAB SALES TAX ON ,,,,Y,N,N
PM-00053,P260001N,IP260001N0,PRA,AGENT,IBFT_1LINK,INBOUND,,,,17900000,0,17900000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T16:04:00Z,2026-07-30T16:04:00Z,E2EP260001N0052,,364895,26211400486,JSBLACQ,PK**************5868,JSBLPKKA,PSID 21010700000563761 PUNJAB SALES TAX ON ,,,,Y,Y,N
PM-00054,P260001P,IP260001P0,NADRA,API,PRISM_RTGS,INBOUND,,,,150000,2500,150000,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T17:11:00Z,2026-07-29T17:11:00Z,E2EP260001P0053,,,,,PK**************5206,JSBLPKKA,PSID 88000000000054 CNIC ISSUANCE / RENE,,,,Y,N,N
PM-00055,P260001Q,IP260001Q0,NADRA,APP,RAAST,INBOUND,,,,150000,2500,150000,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T09:18:00Z,2026-07-28T09:18:00Z,E2EP260001Q0054,63823796-99c1-4f63-85a9-38df8cf384d1,,,,PK**************2265,FAYSPKKA,PSID 88000000000104 CNIC ISSUANCE / RENE,,RAAST-2026-07-28-C3,,Y,N,Y
PM-00056,P260001R,IP260001R0,FBR,QR,RAAST,INBOUND,,,,17200000,0,17200000,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T10:25:00Z,2026-07-27T10:25:00Z,E2EP260001R0055,91b1302b-11bc-4d66-87ed-044c50586613,,,,PK**************3939,NBPAPKKA,PSID 12010200004912562 INCOME TAX - INDIVID,,RAAST-2026-07-27-C3,,Y,N,Y
PM-00057,P260001S,IP260001S0,ETPB,BILLER,IBFT_1LINK,INBOUND,,,,10200000,2500,10200000,0,PKR,CONFIRMED,FINAL,2026-07-30,2026-07-30,SAME_DAY,CUTOFF-2026.07,2026-07-30T11:32:00Z,2026-07-30T11:32:00Z,E2EP260001S0056,,365757,26211500404,SCBLACQ,PK**************1285,SCBLPKKX,PSID 31011000003057134 MOTOR VEHICLE REGIST,,,,Y,Y,N
PM-00058,P260001T,IP260001T0,FBR,ATM,IBFT_1LINK,INBOUND,,,,89870000,0,89870000,0,PKR,CONFIRMED,FINAL,2026-07-29,2026-07-29,SAME_DAY,CUTOFF-2026.07,2026-07-29T12:39:00Z,2026-07-29T12:39:00Z,E2EP260001T0057,,845071,26210915728,SCBLACQ,PK**************1526,SCBLPKKX,PSID 12010500002919853 CUSTOMS DUTY & TAXES,,,,Y,Y,N
PM-00059,P260001V,IP260001V0,NADRA,IBANKING,RAAST,INBOUND,,,,150000,2500,150000,0,PKR,CONFIRMED,FINAL,2026-07-28,2026-07-28,SAME_DAY,CUTOFF-2026.07,2026-07-28T13:46:00Z,2026-07-28T13:46:00Z,E2EP260001V0058,cf428bac-3872-4389-8e9c-062089044ecb,,,,PK**************2545,ALFHPKKA,PSID 88000000000096 CNIC ISSUANCE / RENE,,RAAST-2026-07-28-C4,,Y,N,Y
PM-00060,P260001W,IP260001W0,FBR,CARD,PAYPAK,INBOUND,,,,38102400,0,38102400,0,PKR,CONFIRMED,FINAL,2026-07-27,2026-07-27,SAME_DAY,CUTOFF-2026.07,2026-07-27T14:53:00Z,2026-07-27T14:53:00Z,E2EP260001W0059,,862875,26208201447,UNILACQ,PK**************3753,UNILPKKA,PSID 12010400002246463 SALES TAX ON GOODS -,,,,Y,Y,N
