settlement_file,acquirer_id,stan,rrn,txn_date,txn_time,biller_id,consumer_number,transaction_amount_minor,switch_fee_minor,response_code,channel,end_to_end_id,payment_reference
1LINK-STL-2026-07-30,HABBACQ,440126,26210271316,2026-07-29,11:23:00,NEXUSCOLLECT,RENE,150000,1000,00,BILLER,E2EP260000Y0029,P260000Y
1LINK-STL-2026-07-30,ALFHACQ,828771,26209901986,2026-07-28,12:30:00,NEXUSCOLLECT,B,1550000,1000,00,ATM,E2EP260000Z0030,P260000Z
1LINK-STL-2026-07-30,EASYACQ,587153,26211923800,2026-07-30,14:44:00,NEXUSCOLLECT,INDIVID,12034000,1000,00,CARD,E2EP26000110032,P2600011
1LINK-STL-2026-07-30,JSBLACQ,208966,26209302086,2026-07-28,16:58:00,NEXUSCOLLECT,-,31449600,1000,00,AGENT,E2EP26000130034,P2600013
1LINK-STL-2026-07-30,FAYSACQ,564132,26209770237,2026-07-28,11:26:00,NEXUSCOLLECT,S,14000000,1000,00,BILLER,E2EP26000170038,P2600017
1LINK-STL-2026-07-30,MUCBACQ,995831,26208531888,2026-07-27,12:33:00,NEXUSCOLLECT,-,650000,1000,00,ATM,E2EP26000180039,P2600018
1LINK-STL-2026-07-30,HABBACQ,351316,26210604792,2026-07-29,14:47:00,NEXUSCOLLECT,FI,3500000,1000,00,CARD,E2EP260001A0041,P260001A
1LINK-STL-2026-07-30,ALFHACQ,589550,26208487867,2026-07-27,16:01:00,NEXUSCOLLECT,TAXES,98760000,1000,00,AGENT,E2EP260001C0043,P260001C
1LINK-STL-2026-07-30,ALFHACQ,173481,26208826451,2026-07-27,11:29:00,NEXUSCOLLECT,REGIST,7800000,1000,00,BILLER,E2EP260001G0047,P260001G
1LINK-STL-2026-07-30,FAYSACQ,595657,26211480370,2026-07-30,12:36:00,NEXUSCOLLECT,COMPANI,102921000,1000,00,ATM,E2EP260001H0048,P260001H
1LINK-STL-2026-07-30,FAYSACQ,536799,26209123642,2026-07-28,14:50:00,NEXUSCOLLECT,INDIVID,10312000,1000,00,CARD,E2EP260001K0050,P260001K
1LINK-STL-2026-07-30,JSBLACQ,364895,26211400486,2026-07-30,16:04:00,NEXUSCOLLECT,ON,17900000,1000,00,AGENT,E2EP260001N0052,P260001N
1LINK-STL-2026-07-30,SCBLACQ,365757,26211500404,2026-07-30,11:32:00,NEXUSCOLLECT,REGIST,10200000,1000,00,BILLER,E2EP260001S0056,P260001S
1LINK-STL-2026-07-30,SCBLACQ,845071,26210915728,2026-07-29,12:39:00,NEXUSCOLLECT,TAXES,89870000,1000,00,ATM,E2EP260001T0057,P260001T
1LINK-STL-2026-07-30,UNILACQ,862875,26208201447,2026-07-27,14:53:00,NEXUSCOLLECT,-,38102400,1000,00,CARD,E2EP260001W0059,P260001W
1LINK-STL-2026-07-30,NBPAACQ,376631,26210413124,2026-07-29,16:07:00,NEXUSCOLLECT,B,1860000,1000,00,AGENT,E2EP260001Y0061,P260001Y
1LINK-STL-2026-07-30,JSBLACQ,249924,26210973065,2026-07-29,11:35:00,NEXUSCOLLECT,B,2170000,1000,00,BILLER,E2EP26000220065,P2600022
1LINK-STL-2026-07-30,HABBACQ,282253,26209844364,2026-07-28,12:42:00,NEXUSCOLLECT,REGIST,11400000,1000,00,ATM,E2EP26000230066,P2600023
1LINK-STL-2026-07-30,MUCBACQ,164033,26211491067,2026-07-30,14:56:00,NEXUSCOLLECT,-,28123200,1000,00,CARD,E2EP26000250068,P2600025
1LINK-STL-2026-07-30,MUCBACQ,472062,26209831712,2026-07-28,16:10:00,NEXUSCOLLECT,TAXES,107650000,1000,00,AGENT,E2EP26000270070,P2600027
1LINK-STL-2026-07-30,HABBACQ,466868,26209960669,2026-07-28,11:38:00,NEXUSCOLLECT,B,2790000,1000,00,BILLER,E2EP260002B0074,P260002B
1LINK-STL-2026-07-30,FAYSACQ,747191,26208584948,2026-07-27,12:45:00,NEXUSCOLLECT,COMPANI,79788500,1000,00,ATM,E2EP260002C0075,P260002C
1LINK-STL-2026-07-30,EASYACQ,349072,26210242649,2026-07-29,14:59:00,NEXUSCOLLECT,-,200000,1000,00,CARD,E2EP260002E0077,P260002E
1LINK-STL-2026-07-30,UNILACQ,133873,26209433888,2026-07-28,16:13:00,NEXUSCOLLECT,PROPERT,24640000,1000,00,AGENT,E2EP260002G0079,P260002G
1LINK-STL-2026-07-30,HABBACQ,572268,26208950694,2026-07-27,12:12:00,NEXUSCOLLECT,41011400001606295,150000,1000,00,ATM,E2EP26000370102,P2600037
1LINK-STL-2026-07-30,HABBACQ,846924,26211109371,2026-07-30,13:09:00,NEXUSCOLLECT,31010900000272949,1355000,1000,00,ATM,E2EP260003A0105,P260003A
1LINK-STL-2026-07-30,UNILACQ,150265,26211445200,2026-07-30,17:58:00,NEXUSCOLLECT,88000000000013,150000,1000,00,BILLER,E2EP260003J0113,P260003J
1LINK-STL-2026-07-30,EASYACQ,587153,26211923800,2026-07-30,14:44:00,NEXUSCOLLECT,INDIVID,12034000,1000,00,CARD,E2EP26000110032,P2600011
