allocation_id,payment_id,assessment_id,line_item_id,revenue_head_code,revenue_head_id,amount_minor,allocation_basis,status,applied_at,reversal_reason
AL-000043,PM-00027,AS-00025,LI-000055,B02389,RH-FBR-B02389,381600,WATERFALL,APPLIED,2026-07-28T17:02:00Z,
AL-000044,PM-00027,AS-00025,LI-000054,B02341,RH-FBR-B02341,47700000,WATERFALL,APPLIED,2026-07-28T17:02:00Z,
AL-000045,PM-00028,AS-00117,LI-000210,N09110,RH-NADRA-N09110,150000,WATERFALL,APPLIED,2026-07-27T09:09:00Z,
AL-000046,PM-00029,AS-00122,LI-000215,N09110,RH-NADRA-N09110,150000,WATERFALL,APPLIED,2026-07-30T10:16:00Z,
AL-000047,PM-00030,AS-00123,LI-000216,N09110,RH-NADRA-N09110,150000,WATERFALL,APPLIED,2026-07-29T11:23:00Z,
AL-000048,PM-00031,AS-00142,LI-000243,E04288,RH-ETPB-E04288,50000,WATERFALL,APPLIED,2026-07-28T12:30:00Z,
AL-000049,PM-00031,AS-00142,LI-000242,E04220,RH-ETPB-E04220,1500000,WATERFALL,APPLIED,2026-07-28T12:30:00Z,
AL-000050,PM-00032,AS-00134,LI-000233,J07110,RH-LHC-J07110,2500000,WATERFALL,APPLIED,2026-07-27T13:37:00Z,
AL-000051,PM-00033,AS-00155,LI-000268,B01102,RH-FBR-B01102,11900000,WATERFALL,APPLIED,2026-07-30T14:44:00Z,
AL-000052,PM-00033,AS-00155,LI-000269,B02388,RH-FBR-B02388,134000,WATERFALL,APPLIED,2026-07-30T14:44:00Z,
AL-000053,PM-00034,AS-00135,LI-000234,J07110,RH-LHC-J07110,3000000,WATERFALL,APPLIED,2026-07-29T15:51:00Z,
AL-000054,PM-00035,AS-00020,LI-000045,B02389,RH-FBR-B02389,249600,WATERFALL,APPLIED,2026-07-28T16:58:00Z,
AL-000055,PM-00035,AS-00020,LI-000044,B02341,RH-FBR-B02341,31200000,WATERFALL,APPLIED,2026-07-28T16:58:00Z,
AL-000056,PM-00036,AS-00014,LI-000033,B02388,RH-FBR-B02388,1354500,WATERFALL,APPLIED,2026-07-27T17:05:00Z,
AL-000057,PM-00036,AS-00014,LI-000032,B01101,RH-FBR-B01101,96750000,WATERFALL,APPLIED,2026-07-27T17:05:00Z,
AL-000058,PM-00037,AS-00074,LI-000122,C05191,RH-PSCA-C05191,100000,WATERFALL,APPLIED,2026-07-30T09:12:00Z,
AL-000059,PM-00037,AS-00074,LI-000121,C05110,RH-PSCA-C05110,200000,WATERFALL,APPLIED,2026-07-30T09:12:00Z,
AL-000060,PM-00038,AS-00012,LI-000028,B02388,RH-FBR-B02388,1221500,WATERFALL,APPLIED,2026-07-29T10:19:00Z,
AL-000061,PM-00038,AS-00012,LI-000027,B01101,RH-FBR-B01101,87250000,WATERFALL,APPLIED,2026-07-29T10:19:00Z,
AL-000062,PM-00039,AS-00034,LI-000064,S02100,RH-SRB-S02100,14000000,WATERFALL,APPLIED,2026-07-28T11:26:00Z,
AL-000063,PM-00040,AS-00085,LI-000136,C05115,RH-PSCA-C05115,650000,WATERFALL,APPLIED,2026-07-27T12:33:00Z,
AL-000064,PM-00041,AS-00024,LI-000053,B02389,RH-FBR-B02389,355200,WATERFALL,APPLIED,2026-07-30T13:40:00Z,
AL-000065,PM-00041,AS-00024,LI-000052,B02341,RH-FBR-B02341,44400000,WATERFALL,APPLIED,2026-07-30T13:40:00Z,
AL-000066,PM-00042,AS-00136,LI-000235,J07110,RH-LHC-J07110,3500000,WATERFALL,APPLIED,2026-07-29T14:47:00Z,
AL-000067,PM-00043,AS-00127,LI-000222,R08115,RH-BOR-R08115,980000,WATERFALL,APPLIED,2026-07-28T15:54:00Z,
AL-000068,PM-00043,AS-00127,LI-000221,R08110,RH-BOR-R08110,17500000,WATERFALL,APPLIED,2026-07-28T15:54:00Z,
AL-000069,PM-00044,AS-00043,LI-000078,B03115,RH-FBR-B03115,1560000,WATERFALL,APPLIED,2026-07-27T16:01:00Z,
AL-000070,PM-00044,AS-00043,LI-000077,B03110,RH-FBR-B03110,97200000,WATERFALL,APPLIED,2026-07-27T16:01:00Z,
AL-000071,PM-00045,AS-00150,LI-000259,E04288,RH-ETPB-E04288,200000,WATERFALL,APPLIED,2026-07-30T17:08:00Z,
AL-000072,PM-00045,AS-00150,LI-000258,E04291,RH-ETPB-E04291,3850000,WATERFALL,APPLIED,2026-07-30T17:08:00Z,
AL-000073,PM-00046,AS-00070,LI-000115,E04288,RH-ETPB-E04288,75000,WATERFALL,APPLIED,2026-07-29T09:15:00Z,
AL-000074,PM-00046,AS-00070,LI-000114,E04210,RH-ETPB-E04210,1250000,WATERFALL,APPLIED,2026-07-29T09:15:00Z,
AL-000075,PM-00047,AS-00139,LI-000238,R08910,RH-BOR-R08910,100000000,WATERFALL,APPLIED,2026-07-28T10:22:00Z,
AL-000076,PM-00048,AS-00160,LI-000278,E04215,RH-ETPB-E04215,7800000,WATERFALL,APPLIED,2026-07-27T11:29:00Z,
AL-000077,PM-00049,AS-00015,LI-000035,B02388,RH-FBR-B02388,1421000,WATERFALL,APPLIED,2026-07-30T12:36:00Z,
AL-000078,PM-00049,AS-00015,LI-000034,B01101,RH-FBR-B01101,101500000,WATERFALL,APPLIED,2026-07-30T12:36:00Z,
AL-000079,PM-00050,AS-00149,LI-000257,E04288,RH-ETPB-E04288,170000,WATERFALL,APPLIED,2026-07-29T13:43:00Z,
AL-000080,PM-00050,AS-00149,LI-000256,E04291,RH-ETPB-E04291,3300000,WATERFALL,APPLIED,2026-07-29T13:43:00Z,
AL-000081,PM-00051,AS-00154,LI-000266,B01102,RH-FBR-B01102,10200000,WATERFALL,APPLIED,2026-07-28T14:50:00Z,
AL-000082,PM-00051,AS-00154,LI-000267,B02388,RH-FBR-B02388,112000,WATERFALL,APPLIED,2026-07-28T14:50:00Z,
AL-000083,PM-00052,AS-00028,LI-000058,P02100,RH-PRA-P02100,13700000,WATERFALL,APPLIED,2026-07-27T15:57:00Z,
AL-000084,PM-00053,AS-00030,LI-000060,P02100,RH-PRA-P02100,17900000,WATERFALL,APPLIED,2026-07-30T16:04:00Z,
AL-000085,PM-00054,AS-00120,LI-000213,N09110,RH-NADRA-N09110,150000,WATERFALL,APPLIED,2026-07-29T17:11:00Z,
AL-000086,PM-00055,AS-00125,LI-000218,N09110,RH-NADRA-N09110,150000,WATERFALL,APPLIED,2026-07-28T09:18:00Z,
AL-000087,PM-00056,AS-00158,LI-000274,B01102,RH-FBR-B01102,17000000,WATERFALL,APPLIED,2026-07-27T10:25:00Z,
AL-000088,PM-00056,AS-00158,LI-000275,B02388,RH-FBR-B02388,200000,WATERFALL,APPLIED,2026-07-27T10:25:00Z,
AL-000089,PM-00057,AS-00162,LI-000280,E04215,RH-ETPB-E04215,10200000,WATERFALL,APPLIED,2026-07-30T11:32:00Z,
AL-000090,PM-00058,AS-00042,LI-000076,B03115,RH-FBR-B03115,1470000,WATERFALL,APPLIED,2026-07-29T12:39:00Z,
AL-000091,PM-00058,AS-00042,LI-000075,B03110,RH-FBR-B03110,88400000,WATERFALL,APPLIED,2026-07-29T12:39:00Z,
AL-000092,PM-00059,AS-00124,LI-000217,N09110,RH-NADRA-N09110,150000,WATERFALL,APPLIED,2026-07-28T13:46:00Z,
AL-000093,PM-00060,AS-00022,LI-000049,B02389,RH-FBR-B02389,302400,WATERFALL,APPLIED,2026-07-27T14:53:00Z,
AL-000094,PM-00060,AS-00022,LI-000048,B02341,RH-FBR-B02341,37800000,WATERFALL,APPLIED,2026-07-27T14:53:00Z,
AL-000095,PM-00061,AS-00076,LI-000124,C05110,RH-PSCA-C05110,500000,WATERFALL,APPLIED,2026-07-30T15:00:00Z,
AL-000096,PM-00062,AS-00143,LI-000245,E04288,RH-ETPB-E04288,60000,WATERFALL,APPLIED,2026-07-29T16:07:00Z,
AL-000097,PM-00062,AS-00143,LI-000244,E04220,RH-ETPB-E04220,1800000,WATERFALL,APPLIED,2026-07-29T16:07:00Z,
AL-000098,PM-00063,AS-00140,LI-000239,J07910,RH-LHC-J07910,25000000,WATERFALL,APPLIED,2026-07-28T17:14:00Z,
AL-000099,PM-00064,AS-00119,LI-000212,N09110,RH-NADRA-N09110,150000,WATERFALL,APPLIED,2026-07-27T09:21:00Z,
AL-000100,PM-00065,AS-00031,LI-000061,P02100,RH-PRA-P02100,20000000,WATERFALL,APPLIED,2026-07-30T10:28:00Z,
AL-000101,PM-00066,AS-00144,LI-000247,E04288,RH-ETPB-E04288,70000,WATERFALL,APPLIED,2026-07-29T11:35:00Z,
AL-000102,PM-00066,AS-00144,LI-000246,E04220,RH-ETPB-E04220,2100000,WATERFALL,APPLIED,2026-07-29T11:35:00Z,
AL-000103,PM-00067,AS-00163,LI-000281,E04215,RH-ETPB-E04215,11400000,WATERFALL,APPLIED,2026-07-28T12:42:00Z,
AL-000104,PM-00068,AS-00138,LI-000237,R08910,RH-BOR-R08910,75000000,WATERFALL,APPLIED,2026-07-27T13:49:00Z,
AL-000105,PM-00069,AS-00019,LI-000043,B02389,RH-FBR-B02389,223200,WATERFALL,APPLIED,2026-07-30T14:56:00Z,
AL-000106,PM-00069,AS-00019,LI-000042,B02341,RH-FBR-B02341,27900000,WATERFALL,APPLIED,2026-07-30T14:56:00Z,
AL-000107,PM-00070,AS-00083,LI-000134,C05191,RH-PSCA-C05191,100000,WATERFALL,APPLIED,2026-07-29T15:03:00Z,
AL-000108,PM-00070,AS-00083,LI-000133,C05115,RH-PSCA-C05115,350000,WATERFALL,APPLIED,2026-07-29T15:03:00Z,
AL-000109,PM-00071,AS-00044,LI-000080,B03115,RH-FBR-B03115,1650000,WATERFALL,APPLIED,2026-07-28T16:10:00Z,
AL-000110,PM-00071,AS-00044,LI-000079,B03110,RH-FBR-B03110,106000000,WATERFALL,APPLIED,2026-07-28T16:10:00Z,
AL-000111,PM-00072,AS-00118,LI-000211,N09110,RH-NADRA-N09110,150000,WATERFALL,APPLIED,2026-07-27T17:17:00Z,
AL-000112,PM-00073,AS-00011,LI-000026,B02388,RH-FBR-B02388,1155000,WATERFALL,APPLIED,2026-07-30T09:24:00Z,
AL-000113,PM-00073,AS-00011,LI-000025,B01101,RH-FBR-B01101,82500000,WATERFALL,APPLIED,2026-07-30T09:24:00Z,
AL-000114,PM-00074,AS-00133,LI-000232,J07110,RH-LHC-J07110,2000000,WATERFALL,APPLIED,2026-07-29T10:31:00Z,
AL-000115,PM-00075,AS-00146,LI-000251,E04288,RH-ETPB-E04288,90000,WATERFALL,APPLIED,2026-07-28T11:38:00Z,
AL-000116,PM-00075,AS-00146,LI-000250,E04220,RH-ETPB-E04220,2700000,WATERFALL,APPLIED,2026-07-28T11:38:00Z,
AL-000117,PM-00076,AS-00010,LI-000024,B02391,RH-FBR-B02391,950000,WATERFALL,APPLIED,2026-07-27T12:45:00Z,
AL-000118,PM-00076,AS-00010,LI-000023,B02388,RH-FBR-B02388,1088500,WATERFALL,APPLIED,2026-07-27T12:45:00Z,
AL-000119,PM-00076,AS-00010,LI-000022,B01101,RH-FBR-B01101,77750000,WATERFALL,APPLIED,2026-07-27T12:45:00Z,
AL-000120,PM-00077,AS-00021,LI-000047,B02389,RH-FBR-B02389,276000,WATERFALL,APPLIED,2026-07-30T13:52:00Z,
AL-000121,PM-00077,AS-00021,LI-000046,B02341,RH-FBR-B02341,34500000,WATERFALL,APPLIED,2026-07-30T13:52:00Z,
AL-000122,PM-00078,AS-00082,LI-000132,C05110,RH-PSCA-C05110,200000,WATERFALL,APPLIED,2026-07-29T14:59:00Z,
AL-000123,PM-00079,AS-00027,LI-000057,P02100,RH-PRA-P02100,11600000,WATERFALL,APPLIED,2026-07-28T15:06:00Z,
AL-000124,PM-00080,AS-00129,LI-000226,R08115,RH-BOR-R08115,1140000,WATERFALL,APPLIED,2026-07-27T16:13:00Z,
AL-000125,PM-00080,AS-00129,LI-000225,R08110,RH-BOR-R08110,23500000,WATERFALL,APPLIED,2026-07-27T16:13:00Z,
AL-000126,PM-00081,AS-00065,LI-000107,E04288,RH-ETPB-E04288,150000,WATERFALL,APPLIED,2026-07-29T11:09:00Z,
AL-000127,PM-00081,AS-00065,LI-000106,E04210,RH-ETPB-E04210,1000000,WATERFALL,APPLIED,2026-07-29T11:09:00Z,
AL-000128,PM-00082,AS-00066,LI-000108,E04210,RH-ETPB-E04210,1250000,WATERFALL,APPLIED,2026-07-28T12:18:00Z,
AL-000129,PM-00083,AS-00067,LI-000110,E04288,RH-ETPB-E04288,75000,WATERFALL,APPLIED,2026-07-30T13:27:00Z,
AL-000130,PM-00083,AS-00067,LI-000109,E04210,RH-ETPB-E04210,1500000,WATERFALL,APPLIED,2026-07-30T13:27:00Z,
AL-000131,PM-00084,AS-00068,LI-000112,E04288,RH-ETPB-E04288,150000,WATERFALL,APPLIED,2026-07-29T14:36:00Z,
AL-000132,PM-00084,AS-00068,LI-000111,E04210,RH-ETPB-E04210,1750000,WATERFALL,APPLIED,2026-07-29T14:36:00Z,
AL-000133,PM-00085,AS-00093,LI-000153,W06115,RH-WASA-W06115,34000,WATERFALL,APPLIED,2026-07-30T10:00:00Z,
AL-000134,PM-00085,AS-00093,LI-000152,W06188,RH-WASA-W06188,30000,WATERFALL,APPLIED,2026-07-30T10:00:00Z,
AL-000135,PM-00085,AS-00093,LI-000151,W06110,RH-WASA-W06110,157000,WATERFALL,APPLIED,2026-07-30T10:00:00Z,
AL-000136,PM-00086,AS-00094,LI-000156,W06115,RH-WASA-W06115,34000,WATERFALL,APPLIED,2026-07-29T11:11:00Z,
AL-000137,PM-00086,AS-00094,LI-000155,W06188,RH-WASA-W06188,15000,WATERFALL,APPLIED,2026-07-29T11:11:00Z,
AL-000138,PM-00086,AS-00094,LI-000154,W06110,RH-WASA-W06110,157000,WATERFALL,APPLIED,2026-07-29T11:11:00Z,
AL-000139,PM-00087,AS-00095,LI-000158,W06115,RH-WASA-W06115,34000,WATERFALL,APPLIED,2026-07-28T12:22:00Z,
AL-000140,PM-00087,AS-00095,LI-000157,W06110,RH-WASA-W06110,157000,WATERFALL,APPLIED,2026-07-28T12:22:00Z,
AL-000141,PM-00088,AS-00096,LI-000161,W06115,RH-WASA-W06115,36000,WATERFALL,APPLIED,2026-07-30T13:33:00Z,
AL-000142,PM-00088,AS-00096,LI-000160,W06188,RH-WASA-W06188,30000,WATERFALL,APPLIED,2026-07-30T13:33:00Z,
AL-000143,PM-00088,AS-00096,LI-000159,W06110,RH-WASA-W06110,169000,WATERFALL,APPLIED,2026-07-30T13:33:00Z,
AL-000144,PM-00089,AS-00097,LI-000164,W06115,RH-WASA-W06115,36000,WATERFALL,APPLIED,2026-07-29T14:44:00Z,
AL-000145,PM-00089,AS-00097,LI-000163,W06188,RH-WASA-W06188,15000,WATERFALL,APPLIED,2026-07-29T14:44:00Z,
AL-000146,PM-00089,AS-00097,LI-000162,W06110,RH-WASA-W06110,169000,WATERFALL,APPLIED,2026-07-29T14:44:00Z,
AL-000147,PM-00090,AS-00098,LI-000166,W06115,RH-WASA-W06115,36000,WATERFALL,APPLIED,2026-07-28T15:55:00Z,
AL-000148,PM-00090,AS-00098,LI-000165,W06110,RH-WASA-W06110,169000,WATERFALL,APPLIED,2026-07-28T15:55:00Z,
AL-000149,PM-00091,AS-00099,LI-000169,W06115,RH-WASA-W06115,38000,WATERFALL,APPLIED,2026-07-30T10:06:00Z,
AL-000150,PM-00091,AS-00099,LI-000168,W06188,RH-WASA-W06188,30000,WATERFALL,APPLIED,2026-07-30T10:06:00Z,
AL-000151,PM-00091,AS-00099,LI-000167,W06110,RH-WASA-W06110,181000,WATERFALL,APPLIED,2026-07-30T10:06:00Z,
AL-000152,PM-00092,AS-00100,LI-000172,W06115,RH-WASA-W06115,38000,WATERFALL,APPLIED,2026-07-29T11:17:00Z,
AL-000153,PM-00092,AS-00100,LI-000171,W06188,RH-WASA-W06188,15000,WATERFALL,APPLIED,2026-07-29T11:17:00Z,
AL-000154,PM-00092,AS-00100,LI-000170,W06110,RH-WASA-W06110,181000,WATERFALL,APPLIED,2026-07-29T11:17:00Z,
AL-000155,PM-00093,AS-00101,LI-000174,W06115,RH-WASA-W06115,38000,WATERFALL,APPLIED,2026-07-28T12:28:00Z,
AL-000156,PM-00093,AS-00101,LI-000173,W06110,RH-WASA-W06110,181000,WATERFALL,APPLIED,2026-07-28T12:28:00Z,
AL-000157,PM-00094,AS-00102,LI-000177,W06115,RH-WASA-W06115,40000,WATERFALL,APPLIED,2026-07-30T13:39:00Z,
AL-000158,PM-00094,AS-00102,LI-000176,W06188,RH-WASA-W06188,30000,WATERFALL,APPLIED,2026-07-30T13:39:00Z,
AL-000159,PM-00094,AS-00102,LI-000175,W06110,RH-WASA-W06110,193000,WATERFALL,APPLIED,2026-07-30T13:39:00Z,
AL-000160,PM-00095,AS-00004,LI-000010,B02391,RH-FBR-B02391,650000,WATERFALL,APPLIED,2026-07-30T12:00:00Z,
AL-000161,PM-00095,AS-00004,LI-000009,B02388,RH-FBR-B02388,689500,WATERFALL,APPLIED,2026-07-30T12:00:00Z,
AL-000162,PM-00095,AS-00004,LI-000008,B01101,RH-FBR-B01101,18896300,WATERFALL,APPLIED,2026-07-30T12:00:00Z,
AL-000163,PM-00096,AS-00005,LI-000012,B02388,RH-FBR-B02388,756000,WATERFALL,APPLIED,2026-07-29T12:13:00Z,
AL-000164,PM-00096,AS-00005,LI-000011,B01101,RH-FBR-B01101,26622000,WATERFALL,APPLIED,2026-07-29T12:13:00Z,
AL-000165,PM-00097,AS-00006,LI-000014,B02388,RH-FBR-B02388,822500,WATERFALL,APPLIED,2026-07-28T12:26:00Z,
AL-000166,PM-00097,AS-00006,LI-000013,B01101,RH-FBR-B01101,34921000,WATERFALL,APPLIED,2026-07-28T12:26:00Z,
AL-000167,PM-00098,AS-00007,LI-000017,B02391,RH-FBR-B02391,800000,WATERFALL,APPLIED,2026-07-30T12:39:00Z,
AL-000168,PM-00098,AS-00007,LI-000016,B02388,RH-FBR-B02388,889000,WATERFALL,APPLIED,2026-07-30T12:39:00Z,
AL-000169,PM-00098,AS-00007,LI-000015,B01101,RH-FBR-B01101,43943300,WATERFALL,APPLIED,2026-07-30T12:39:00Z,
AL-000170,PM-00099,AS-00008,LI-000019,B02388,RH-FBR-B02388,955500,WATERFALL,APPLIED,2026-07-29T12:52:00Z,
AL-000171,PM-00099,AS-00008,LI-000018,B01101,RH-FBR-B01101,26726700,WATERFALL,APPLIED,2026-07-29T12:52:00Z,
AL-000172,PM-00100,AS-00009,LI-000021,B02388,RH-FBR-B02388,1022000,WATERFALL,APPLIED,2026-07-28T12:05:00Z,
AL-000173,PM-00100,AS-00009,LI-000020,B01101,RH-FBR-B01101,35989000,WATERFALL,APPLIED,2026-07-28T12:05:00Z,
AL-000174,PM-00101,AS-00090,LI-000145,W06115,RH-WASA-W06115,32000,WATERFALL,APPLIED,2026-07-29T15:05:00Z,
AL-000175,PM-00101,AS-00090,LI-000144,W06188,RH-WASA-W06188,30000,WATERFALL,APPLIED,2026-07-29T15:05:00Z,
AL-000176,PM-00101,AS-00090,LI-000143,W06110,RH-WASA-W06110,145000,WATERFALL,APPLIED,2026-07-29T15:05:00Z,
AL-000177,PM-00101,AS-00091,LI-000148,W06115,RH-WASA-W06115,32000,WATERFALL,APPLIED,2026-07-29T15:05:00Z,
AL-000178,PM-00101,AS-00091,LI-000147,W06188,RH-WASA-W06188,15000,WATERFALL,APPLIED,2026-07-29T15:05:00Z,
AL-000179,PM-00101,AS-00091,LI-000146,W06110,RH-WASA-W06110,145000,WATERFALL,APPLIED,2026-07-29T15:05:00Z,
AL-000180,PM-00101,AS-00092,LI-000150,W06115,RH-WASA-W06115,15700,WATERFALL,APPLIED,2026-07-29T15:05:00Z,
AL-000181,PM-00102,AS-00088,LI-000141,C05191,RH-PSCA-C05191,100000,EXPLICIT,APPLIED,2026-07-30T14:32:00Z,
AL-000182,PM-00102,AS-00088,LI-000140,C05110,RH-PSCA-C05110,500000,EXPLICIT,APPLIED,2026-07-30T14:32:00Z,
AL-000183,PM-00102,AS-00089,LI-000142,C05115,RH-PSCA-C05115,200000,EXPLICIT,APPLIED,2026-07-30T14:32:00Z,
AL-000184,PM-00103,AS-00087,LI-000139,C05115,RH-PSCA-C05115,150000,WATERFALL,APPLIED,2026-07-27T12:12:00Z,
AL-000185,PM-00104,AS-00147,LI-000253,E04288,RH-ETPB-E04288,110000,WATERFALL,APPLIED,2026-07-29T11:40:00Z,
AL-000186,PM-00104,AS-00147,LI-000252,E04291,RH-ETPB-E04291,2200000,WATERFALL,APPLIED,2026-07-29T11:40:00Z,
AL-000187,PM-00105,AS-00148,LI-000255,E04288,RH-ETPB-E04288,140000,WATERFALL,APPLIED,2026-07-29T11:41:00Z,
AL-000188,PM-00105,AS-00148,LI-000254,E04291,RH-ETPB-E04291,2750000,WATERFALL,APPLIED,2026-07-29T11:41:00Z,
AL-000189,PM-00106,AS-00058,LI-000095,E04288,RH-ETPB-E04288,75000,WATERFALL,APPLIED,2026-07-30T13:09:00Z,
AL-000190,PM-00106,AS-00058,LI-000094,E04210,RH-ETPB-E04210,1250000,WATERFALL,APPLIED,2026-07-30T13:09:00Z,
AL-000191,PM-00107,AS-00045,LI-000081,B01110,RH-FBR-B01110,1800000,EXPLICIT,APPLIED,2026-07-29T16:45:00Z,
AL-000192,PM-00107,AS-00046,LI-000082,B01110,RH-FBR-B01110,2035000,EXPLICIT,APPLIED,2026-07-29T16:45:00Z,
AL-000193,PM-00107,AS-00047,LI-000083,B01110,RH-FBR-B01110,2270000,EXPLICIT,APPLIED,2026-07-29T16:45:00Z,
